Time,RawPot,RawTemp
868,255,493
869,255,493
870,255,493
871,255,493
872,255,493
873,255,493
874,255,492
875,255,493
876,255,493
877,255,493
878,255,494
879,255,493
880,255,493
881,255,493
882,255,493
883,255,493
884,255,492
885,255,494
886,255,493
887,255,493
888,255,494
889,255,493
890,255,493
891,255,493
892,255,493
893,255,493
894,255,492
895,255,494
896,255,493
897,255,492
898,255,494
899,255,493
900,255,493
901,255,493
902,255,493
903,255,492
904,255,493
905,255,493
906,255,492
907,255,493
908,255,493
909,255,493
910,255,493
911,255,493
912,255,493
913,255,492
914,255,493
915,255,493
916,255,492
917,255,493
918,255,493
919,255,493
920,255,493
921,255,493
922,255,493
923,255,493
924,255,492
925,255,493
926,255,493
927,255,493
928,255,493
929,255,492
930,255,493
931,255,493
932,255,493
933,255,493
934,255,493
935,255,493
936,255,493
937,255,493
938,255,493
939,255,493
940,255,493
941,255,493
942,255,493
943,255,492
944,255,493
945,255,493
946,255,493
947,255,493
948,255,493
949,255,493
950,255,493
951,255,493
952,255,493
953,255,493
954,255,493
955,255,493
956,255,493
957,255,493
958,255,493
959,255,493
960,255,493
961,255,493
962,255,493
963,255,493
964,255,493
965,255,493
966,255,493
967,255,493
968,255,493
970,255,493
971,255,493
972,255,493
973,255,492
974,255,493
975,255,493
976,255,492
977,255,494
978,255,493
979,255,493
980,255,493
981,255,493
982,255,492
983,255,493
984,255,492
985,255,492
986,255,493
987,255,493
988,255,493
989,255,493
990,255,493
991,255,492
992,255,493
993,255,493
994,255,493
995,255,492
996,255,493
997,255,492
998,255,492
999,255,493
1000,255,492
1001,255,492
1002,255,492
1003,255,492
1004,255,492
1005,219,492
1006,255,493
1007,255,492
1008,255,492
1009,255,493
1010,255,492
1011,251,493
1012,225,492
1013,192,492
1014,91,492
1015,89,493
1016,27,493
1017,0,492
1018,0,492
1019,0,492
1020,0,492
1021,0,492
1022,0,492
1023,0,493
1024,0,493
1025,0,493
1026,0,493
1027,0,493
1028,0,493
1029,0,493
1030,0,493
1031,0,493
1032,0,494
1033,0,494
1034,0,494
1035,0,495
1036,0,494
1037,0,494
1038,0,494
1039,0,493
1040,0,494
1041,0,494
1042,0,495
1043,0,495
1044,0,495
1045,0,495
1046,0,494
1047,0,495
1048,0,495
1049,0,495
1050,0,495
1051,0,496
1052,0,495
1053,0,496
1054,0,496
1055,0,496
1056,0,496
1057,0,496
1058,0,496
1059,0,496
1060,0,496
1061,0,497
1062,0,497
1063,0,497
1064,0,497
1065,0,497
1066,0,497
1067,0,496
1068,0,497
1069,0,497
1070,0,498
1071,0,498
1072,0,498
1073,0,498
1074,0,498
1075,0,498
1076,0,498
1077,0,498
1078,0,498
1079,0,498
1080,0,498
1081,0,499
1082,0,500
1083,0,499
1084,0,499
1085,0,499
1086,0,498
1087,0,499
1088,0,499
1089,0,499
1090,0,500
1091,0,500
1092,0,500
1093,0,500
1094,0,500
1095,0,500
1096,0,500
1097,0,500
1098,0,500
1099,0,500
1100,0,501
1101,0,501
1102,0,501
1103,0,502
1104,0,501
1105,0,501
1106,0,501
1107,0,500
1108,0,501
1109,0,501
1110,0,502
1111,0,502
1113,0,502
1114,0,502
1115,0,502
1116,0,502
1117,0,502
1118,0,502
1119,0,502
1120,0,502
1121,0,502
1122,0,503
1123,0,503
1124,0,503
1125,0,503
1126,0,503
1127,0,503
1128,0,503
1129,0,503
1130,0,504
1131,0,503
1132,0,504
1133,0,503
1134,0,504
1135,0,505
1136,0,504
1137,0,504
1138,0,504
1139,0,503
1140,0,504
1141,0,504
1142,0,504
1143,0,504
1144,0,503
1145,0,505
1146,0,504
1147,0,505
1148,0,505
1149,0,505
1150,0,505
1151,0,505
1152,0,506
1153,0,505
1154,0,505
1155,0,505
1156,0,505
1157,0,505
1158,0,506
1159,0,506
1160,0,506
1161,0,506
1162,0,506
1163,0,506
1164,0,506
1165,0,506
1166,0,505
1167,0,506
1168,0,506
1169,0,506
1170,0,506
1171,0,506
1172,0,507
1173,0,506
1174,0,507
1175,0,507
1176,0,506
1177,0,507
1178,0,507
1179,0,507
1180,0,507
1181,0,507
1182,0,507
1183,0,507
1184,0,507
1185,0,507
1186,0,508
1187,0,508
1188,0,508
1189,0,508
1190,0,508
1191,0,509
1192,0,508
1193,0,508
1194,0,509
1195,0,508
1196,0,509
1197,0,508
1198,0,508
1199,0,508
1200,0,509
1201,0,509
1202,0,509
1203,0,509
1204,0,509
1205,0,508
1206,0,509
1207,0,509
1208,0,509
1209,0,509
1210,0,509
1211,0,509
1212,0,509
1213,0,509
1214,0,509
1215,0,509
1216,0,510
1217,0,510
1218,0,510
1219,0,510
1220,0,510
1221,0,510
1222,0,510
1223,0,510
1224,0,510
1225,0,511
1226,0,510
1227,0,509
1228,0,510
1229,0,510
1230,0,510
1231,0,510
1232,0,510
1233,0,510
1234,13,510
1235,52,511
1236,102,510
1237,170,511
1238,219,510
1239,252,511
1240,255,510
1241,255,510
1242,255,511
1243,255,511
1244,255,511
1245,255,511
1246,255,511
1247,255,511
1248,255,510
1249,255,510
1250,255,510
1251,255,510
1252,255,510
1253,255,510
1254,255,509
1255,255,510
1257,255,511
1258,255,511
1259,255,511
1260,255,510
1261,255,509
1262,255,509
1263,255,509
1264,255,509
1265,255,509
1266,255,510
1267,255,509
1268,255,509
1269,255,509
1270,255,509
1271,255,509
1272,255,509
1273,255,509
1274,255,509
1275,255,509
1276,255,509
1277,255,509
1278,255,508
1279,255,508
1280,255,508
1281,255,508
1282,255,508
1283,255,508
1284,255,508
1285,255,508
1286,255,508
1287,255,508
1288,255,508
1289,255,508
1290,255,508
1291,255,507
1292,255,507
1293,255,507
1294,255,507
1295,255,507
1296,255,507
1297,255,507
1298,255,507
1299,255,507
1300,255,507
1301,255,506
1302,255,506
1303,255,506
1304,255,507
1305,255,507
1306,255,507
1307,255,506
1308,255,506
1309,255,506
1310,255,506
1311,255,506
1312,255,506
1313,255,506
1314,255,506
1315,255,506
1316,255,506
1317,255,506
1318,255,506
1319,255,505
1320,255,505
1321,255,505
1322,255,505
1323,255,505
1324,255,505
1325,255,505
1326,255,505
1327,255,505
1328,255,505
1329,255,505
1330,255,505
1331,255,505
1332,255,505
1333,255,505
1334,255,505
1335,255,504
1336,255,505
1337,255,504
1338,255,504
1339,255,505
1340,255,505
1341,255,505
1342,255,504
1343,255,504
1344,255,504
1345,255,504
1346,255,504
1347,255,504
1348,255,504
1349,255,503
1350,255,504
1351,255,504
1352,255,504
1353,255,503
1354,255,503
1355,255,503
1356,255,503
1357,255,503
1358,255,503
1359,255,503
1360,255,503
1361,255,503
1362,255,503
1363,255,503
1364,255,502
1365,255,502
1366,255,502
1367,255,502
1368,255,502
1369,255,502
1370,255,501
1371,255,501
1372,255,502
1373,255,503
1374,255,503
1375,255,502
1376,255,501
1377,255,501
1378,255,501
1379,255,501
1380,255,501
1381,255,501
1382,255,501
1383,255,501
1384,255,501
1386,255,501
1387,255,501
1388,255,501
1389,255,501
1390,255,501
1391,255,500
1392,255,501
1393,255,501
1394,255,501
1395,255,501
1396,255,501
1397,255,500
1398,255,500
1399,255,500
1400,255,500
1401,255,500
1402,255,500
1403,255,500
1404,255,500
1405,255,500
1406,255,500
1407,255,500
1408,255,500
1409,255,500
1410,255,500
1411,255,500
1412,255,500
1413,255,499
1414,255,499
1415,255,499
1416,255,499
1417,255,499
1418,255,499
1419,255,499
1420,255,499
1421,255,499
1422,255,499
1423,255,499
1424,255,499
1425,255,499
1426,255,499
1427,255,499
1428,255,499
1429,255,499
1430,255,499
1431,255,499
1432,255,499
1433,255,499
1434,255,499
1435,255,499
1436,255,498
1437,255,498
1438,255,498
1439,255,499
1440,255,499
1441,255,499
1442,255,498
1443,255,498
1444,255,498
1445,255,498
1446,255,498
1447,255,498
1448,255,497
1449,255,498
1450,255,498
1451,255,498
1452,255,498
1453,255,498
1454,255,498
1455,255,498
1456,255,498
1457,255,498
1458,255,498
1459,255,498
1460,255,497
1461,255,497
1462,255,498
1463,255,498
1464,255,498
1465,255,497
1466,255,497
1467,255,497
1468,255,497
1469,255,497
1470,255,497
1471,255,497
1472,255,497
1473,255,497
1474,255,497
1475,255,497
1476,255,497
1477,255,497
1478,255,497
1479,255,497
1480,255,496
1481,255,497
1482,255,497
1483,255,497
1484,255,497
1485,255,497
1486,255,496
1487,255,497
1488,255,497
1489,255,496
1490,255,496
1491,255,496
1492,255,496
1493,255,496
1494,255,497
1495,255,497
1496,255,496
1497,255,496
1498,255,496
1499,255,496
1500,255,496
1501,255,496
1502,255,496
1503,255,496
1504,255,496
1505,255,496
1506,255,496
1507,255,496
1508,255,496
1509,255,496
1510,255,496
1511,255,496
1512,255,495
1513,255,495
1514,255,495
1516,255,496
1517,255,497
1518,255,496
1519,255,496
1520,255,496
1521,255,495
1522,255,496
1523,255,495
1524,255,496
1525,255,496
1526,255,496
1527,255,496
1528,255,496
1529,255,496
1530,255,496
1531,255,495
1532,255,495
1533,255,495
1534,255,495
1535,255,495
1536,255,495
1537,255,495
1538,255,495
1539,255,495
1540,255,495
1541,255,495
1542,255,495
1543,255,495
1544,255,495
1545,255,495
1546,255,495
1547,255,495
1548,255,495
1549,255,495
1550,255,495
1551,255,495
1552,255,495
1553,255,495
1554,255,495
1555,255,495
1556,255,496
1557,255,495
1558,255,495
1559,255,495
1560,255,495
1561,255,495
1562,255,495
1563,255,495
1564,255,495
1565,255,495
1566,255,495
1567,255,495
1568,255,495
1569,255,495
1570,255,495
1571,255,495
1572,255,495
1573,255,495
1574,255,495
1575,255,495
1576,255,495
1577,255,495
1578,255,495
1579,255,495
1580,255,495
1581,255,495
1582,255,495
1583,255,495
1584,255,495
1585,255,495
1586,255,495
1587,255,495
1588,255,495
1589,255,495
1590,255,495
1591,255,495
1592,255,495
1593,255,495
1594,255,495
1595,255,495
1596,255,494
1597,255,495
1598,255,494
1599,255,495
1600,255,495
1601,255,494
1602,255,495
1603,255,494
1604,255,494
1605,255,494
1606,255,494
1607,255,494
1608,255,494
1609,255,494
1610,255,494
1611,255,494
1612,255,494
1613,255,494
1614,255,494
1615,255,494
1616,255,494
1617,255,494
1618,255,494
1619,255,494
1620,255,494
1621,255,494
1622,255,494
1623,255,494
1624,255,494
1625,255,494
1626,255,494
1627,255,494
1628,255,494
1629,255,494
1630,255,493
1631,255,493
1632,255,493
1633,255,494
1634,255,494
1635,255,494
1636,255,494
1637,255,494
1638,255,493
1639,255,493
1640,255,493
1641,255,493
1642,255,493
1643,255,493
1644,255,493
1646,255,493
1647,255,493
1648,255,493
1649,255,493
1650,255,493
1651,255,493
1652,255,493
1653,255,493
1654,255,493
1655,255,493
1656,255,493
1657,255,493
1658,255,493
1659,255,493
1660,255,493
1661,255,493
1662,255,493
1663,255,493
1664,255,493
1665,255,493
1666,255,493
1667,255,492
1668,255,493
1669,255,492
1670,255,492
1671,255,493
1672,255,494
1673,255,493
1674,255,493
1675,255,493
1676,255,493
1677,255,493
1678,255,493
1679,255,493
1680,255,493
1681,255,493
1682,255,493
1683,255,493
1684,255,493
1685,255,493
1686,255,493
1687,255,493
1688,255,493
1689,255,493
1690,255,493
1691,255,493
1692,255,493
1693,255,493
1694,255,493
1695,255,493
1696,255,493
1697,255,494
1698,255,493
1699,255,493
1700,255,493
1701,255,493
1702,255,493
1703,255,493
1704,255,492
1705,255,493
1706,255,494
1707,255,494
1708,255,493
1709,255,493
1710,255,493
1711,255,493
1712,255,493
1713,255,493
1714,255,493
1715,255,493
1716,255,493
1717,255,493
1718,255,493
1719,255,493
1720,255,493
1721,255,492
1722,255,492
1723,255,492
1724,255,492
1725,255,493
1726,255,493
1727,255,493
1728,255,493
1729,255,493
1730,255,492
1731,255,493
1732,255,493
1733,255,492
1734,255,492
1735,255,492
1736,255,492
1737,255,492
1738,255,493
1739,255,492
1740,255,492
1741,255,492
1742,255,492
1743,254,493
1744,240,492
1745,215,492
1746,183,492
1747,136,491
1748,78,492
1749,29,492
1750,0,492
1751,0,492
1752,0,492
1753,0,492
1754,0,493
1755,0,492
1756,0,492
1757,0,493
1758,0,492
1759,0,493
1760,0,493
1761,0,492
1762,0,493
1763,0,493
1764,0,493
1765,0,493
1766,0,493
1767,0,493
1768,0,493
1769,0,494
1770,0,494
1771,0,494
1772,0,494
1773,0,494
1774,0,495
1775,0,494
1776,0,495
1778,0,494
1779,0,494
1780,0,494
1781,0,494
1782,0,495
1783,0,494
1784,0,494
1785,0,495
1786,0,494
1787,0,495
1788,0,495
1789,0,495
1790,0,495
1791,0,495
1792,0,496
1793,0,495
1794,0,496
1795,0,496
1796,0,495
1797,0,496
1798,0,496
1799,0,496
1800,0,496
1801,0,496
1802,0,496
1803,0,496
1804,0,497
1805,0,496
1806,0,497
1807,0,497
1808,0,496
1809,0,497
1810,0,497
1811,0,497
1812,0,497
1813,0,498
1814,0,498
1815,0,498
1816,0,499
1817,0,498
1818,0,498
1819,0,498
1820,0,498
1821,0,498
1822,0,498
1823,0,498
1824,0,499
1825,0,498
1826,0,499
1827,0,499
1828,0,499
1829,0,499
1830,0,499
1831,0,499
1832,0,499
1833,0,500
1834,0,500
1835,0,500
1836,0,500
1837,0,500
1838,0,500
1839,0,500
1840,0,501
1841,0,500
1842,0,500
1843,0,500
1844,0,500
1845,0,501
1846,0,501
1847,0,501
1848,0,501
1849,0,500
1850,0,501
1851,0,501
1852,0,501
1853,0,501
1854,0,501
1855,0,502
1856,0,502
1857,0,502
1858,0,502
1859,0,503
1860,0,502
1861,0,502
1862,0,502
1863,0,502
1864,0,502
1865,0,502
1866,0,503
1867,0,503
1868,0,503
1869,0,503
1870,0,503
1871,0,503
1872,0,503
1873,0,503
1874,0,503
1875,0,503
1876,0,504
1877,0,503
1878,0,503
1879,0,504
1880,0,504
1881,0,504
1882,0,504
1883,0,504
1884,0,504
1885,0,504
1886,0,505
1887,0,504
1888,0,505
1889,0,504
1890,0,504
1891,0,505
1892,0,505
1893,0,505
1894,0,505
1895,0,505
1896,0,505
1897,0,505
1898,0,505
1899,0,505
1900,0,505
1901,0,505
1902,0,505
1903,0,505
1904,0,505
1905,0,506
1906,0,506
1907,0,506
1908,0,506
1909,0,506
1910,0,506
1911,0,506
1912,0,506
1913,0,506
1914,0,506
1915,0,506
1916,0,507
1917,0,506
1918,0,507
1919,0,507
1920,0,506
1921,0,507
1922,0,506
1923,0,507
1925,0,507
1926,0,507
1927,0,507
1928,0,507
1929,0,507
1930,0,507
1931,0,507
1932,0,507
1933,0,507
1934,0,508
1935,0,507
1936,0,508
1937,0,508
1938,0,507
1939,0,508
1940,0,507
1941,0,508
1942,0,508
1943,0,508
1944,0,508
1945,0,508
1946,0,508
1947,0,508
1948,0,508
1949,0,509
1950,0,508
1951,0,508
1952,0,508
1953,0,508
1954,0,509
1955,0,508
1956,0,509
1957,0,509
1958,0,509
1959,0,509
1960,0,509
1961,0,509
1962,0,509
1963,0,509
1964,0,509
1965,0,509
1966,0,509
1967,0,509
1968,0,509
1969,0,509
1970,0,509
1971,0,509
1972,0,509
1973,0,509
1974,0,509
1975,0,509
1976,0,510
1977,0,510
1978,0,509
1979,0,510
1980,0,510
1981,0,510
1982,0,510
1983,0,510
1984,0,510
1985,0,510
1986,0,510
1987,0,510
1988,0,510
1989,0,510
1990,0,510
1991,0,510
1992,0,510
1993,0,510
1994,0,511
1995,0,510
1996,0,511
1997,0,511
1998,0,511
1999,0,511
2000,0,510
